min_item_interactions,n_neighbors,precision_at_k,recall_at_k,map_at_k,ndcg_at_k,users_evaluated,training_rows
25,40,0.07655986509274873,0.09414378035281504,0.05673821930246086,0.1086799591858595,593,32574
25,10,0.07706576728499158,0.08996192272327803,0.05443338009115332,0.10570647479616618,593,32574
25,20,0.07386172006745362,0.08861191580725794,0.053250186308987396,0.10340330327223302,593,32574
50,40,0.06863406408094436,0.08231700729281875,0.05035186746611704,0.09589633031069461,593,16435
50,10,0.06661045531197302,0.08169252543962559,0.04902108037331477,0.09404730083368597,593,16435
50,20,0.06458684654300167,0.07875328490973585,0.046984408465778414,0.0910674235545614,593,16435
