model,precision_at_k,recall_at_k,map_at_k,ndcg_at_k,coverage,users_evaluated,rmse,mae
Popularity,0.060641891891891904,0.04913017757113576,0.038090130681276514,0.07841651121779163,0.10467980295566502,592,,
Item-KNN,0.07601351351351351,0.06989966068390302,0.04567955870411228,0.0959204433318506,0.3226600985221675,592,,
TruncatedSVD,0.07415540540540541,0.07169004099276528,0.040874377247145106,0.09023086890258189,0.7807881773399015,592,2.2396152723409783,1.752023210055288
Content-Based,0.010810810810810811,0.016663647239500406,0.008209917506792506,0.01732054132281027,0.4605911330049261,592,,
Hybrid Ensemble,0.08597972972972974,0.0753424244625072,0.05076284351953995,0.10540772082149791,0.4642857142857143,592,,
